"game_id","stadium","given_date","given_time","given_lat","given_lon","timestamp_lcl","temperature_air_2m_f","temperature_wetbulb_2m_f","temperature_dewpoint_2m_f","temperature_feelslike_2m_f","temperature_windchill_2m_f","temperature_heatindex_2m_f","humidity_relative_2m_pct","humidity_specific_2m_gpkg","pressure_2m_mb","pressure_mean_sea_level_mb","wind_speed_10m_mph","wind_direction_10m_deg","precipitation_in","snowfall_in","cloud_cover_pct"
"200609100ram","Edward Jones Dome","2006-09-09","01:02:00","38.6328","-90.1885","2006-09-09 12:00:00","82","66.4","57.9","82.3","82","82.3","44","10.2","1002.4","1017.9","0","0","0","0","0"
"200211240car","Ericsson Stadium","2002-11-23","01:02:00","35.2258","-80.8528","2002-11-23 13:00:00","50","38.7","21","50","50","50","32","2.4","992.7","1020.6","0","0","0","0","0"
"200611260was","FedExField","2006-11-25","01:03:00","38.9076","-76.8645","2006-11-25 13:00:00","57.2","46.6","34.9","57.2","57.2","57.2","43","4.2","1017.4","1028","0","0","0","0","0"
"200309210det","Ford Field","2003-09-20","01:03:00","42.34","-83.0456","2003-09-20 13:00:00","64","54","46","64","64","64","52","6.6","1000.5","1024","0","0","0","0","0"
"200012040nwe","Foxboro Stadium","2000-12-03","09:09:00","42.0654","-71.2478","2000-12-03 21:00:00","12.9","12","9","12.9","12.9","12.9","84","1.4","1028.7","1030.6","0","0","0","0","0"
"200111180nwe","Foxboro Stadium","2001-11-17","08:35:00","42.0654","-71.2478","2001-11-17 21:00:00","26.1","24.4","21","26.1","26.1","26.1","81","2.4","1030.3","1032.1","0","0","0","0","0"
"200010220atl","Georgia Dome","2000-10-21","01:05:00","33.7577","-84.4008","2000-10-21 13:00:00","72","64.2","60.1","76.4","72","76.4","66","11.2","993.2","1024.2","0","0","0","0","0"
"200210200atl","Georgia Dome","2002-10-19","01:05:00","33.7577","-84.4008","2002-10-19 13:00:00","66","54.8","46","66","66","66","48","6.7","989.9","1021","0","0","0","0","0"
"200311230atl","Georgia Dome","2003-11-22","04:15:00","33.7577","-84.4008","2003-11-22 16:00:00","72","58","48","75.6","72","75.6","43","7.2","987.3","1018.1","0","0","0","0","0"
"200312280atl","Georgia Dome","2003-12-27","01:03:00","33.7577","-84.4008","2003-12-27 13:00:00","60.1","44.3","23","60.1","60.1","60.1","24","2.6","993.9","1025.7","0","0","0","0","0"
